# W7_OilShaleExtraction – Water Use in Hydraulic Fracturing

## Overview
This table estimates water used in oil shale hydraulic fracturing (fracking) operations in Kern County and surrounding oil fields between 2020 and 2025.

## Data Table

| Field/Region | Estimated Use (acre-feet/year) | Well Count (Active) | Source Year | Notes | Source |
|------------------|--------------------------------|----------------------|-------------|----------------------------------------------|------------------|
| Kern River Field | 4,200 | 1,134 | 2024 | High reuse rate not yet achieved | CalGEM |
| Lost Hills | 2,700 | 489 | 2023 | Near Tule River tribal lands | DOGGR |
| Belridge | 3,100 | 620 | 2024 | Heavy aquifer drawdown reported | Local groundwater|
| San Joaquin | 1,900 | 430 | 2025 | Water quality degradation documented | USGS |

## Tags
`fracking`, `oil_water_use`, `kern_county`, `aquifer_stress`, `tribal_proximity`

## Sources
- CalGEM Hydraulic Fracturing Report (https://www.conservation.ca.gov/calgem)
- DOGGR Field Data (https://www.conservation.ca.gov/)
- USGS Water Quality Reports (https://www.usgs.gov)
